ï»¿Country,Name,Goals,Expected Goals (xG),Big chances missed,Successful dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %,Rating,Big chances created,Total passes,Accurate final third passes,Accurate long balls,Assists,Accurate passes %,Key passes,Accurate long balls %,Accurate own half passes,Accurate crosses,Passes to assist,Accurate passes,Inaccurate passes,Accurate opposition half passes,Accurate crosses %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Errors lead to shot,Own goals,Dribbled past,Clean sheets,Ground duels won,Total duels won,Aerial duels won %,Minutes played,Appearances,Aerial duels won,Age
Switzerland,Nico Elvedi,0,0.08,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,142,3,5,0,92.25,0,83.33,98,0,0,131,11,33,0,2,1,0,13,0,0,0,2,1,3,5,40,180,2,2,26
Denmark,Pierre-Emile HÃ¸jbjerg,0,0.03,0,1,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,221,39,23,0,89.59,1,67.65,101,0,0,198,23,97,0,4,3,0,6,0,0,0,3,1,6,7,100,270,3,1,26
USA,Tyler Adams,0,0.02,0,1,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,1,264,49,18,0,90.15,2,81.82,115,0,0,238,26,123,0,11,4,0,5,0,0,0,4,2,17,22,71.43,360,4,5,23
Croatia,Mislav OrÅ¡iÄ,1,0.35,0,1,33.33,9,2,3,4,11.11,0,0,0,0,0,1,0,0,0,1,0,1,0,0,7.08,2,49,22,0,2,79.59,5,0,6,0,0,39,10,33,0,3,0,0,1,0,0,0,4,0,4,4,0,169,6,0,30
Netherlands,Virgil van Dijk,0,0.19,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,355,11,21,0,87.61,2,53.85,225,0,0,311,44,86,0,2,4,0,21,0,0,0,1,2,3,17,60.87,480,5,14,31
England,Jack Grealish,1,0.65,0,3,60,1,1,0,0,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.08,0,54,17,1,0,88.89,2,100,17,0,0,48,6,31,0,3,3,0,0,0,0,0,0,0,16,16,0,81,5,0,27
France,AurÃ©lien TchouamÃ©ni,1,0.35,0,3,60,6,2,0,4,16.67,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.07,2,468,82,12,0,90.38,6,52.17,187,0,0,423,45,236,0,11,14,1,6,0,0,0,4,1,24,29,71.43,623,7,5,22
Uruguay,Rodrigo Bentancur,0,0.62,1,3,60,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,156,30,4,0,85.26,2,57.14,69,1,0,133,23,65,50,9,7,0,4,0,0,0,0,1,15,21,66.67,214,3,6,25
England,Kieran Trippier,0,0.05,0,1,100,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.07,0,163,29,5,0,85.89,3,50,79,4,0,140,23,65,40,6,1,0,3,0,0,0,1,1,7,11,80,205,3,4,32
Poland,Robert Lewandowski,2,2.93,3,5,41.67,12,4,5,3,16.67,2,1,1,1,0,2,0,0,1,1,1,0,50,0,7.05,1,87,25,2,1,70.11,5,66.67,19,0,0,61,26,42,0,2,1,0,8,0,0,0,3,2,16,32,48.48,360,4,16,34
Spain,Dani Olmo,1,1.4,2,4,23.53,12,6,4,2,8.33,0,0,0,0,0,1,0,0,0,1,1,2,0,0,7.05,0,187,67,4,1,85.56,5,66.67,34,2,0,160,27,128,20,5,1,0,3,0,0,0,1,1,15,15,0,368,4,0,24
Argentina,Alexis Mac Allister,1,0.69,2,4,66.67,7,4,3,0,14.29,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.05,2,263,94,5,1,88.97,8,55.56,68,0,0,234,29,166,0,9,3,0,2,0,0,0,3,0,26,31,27.78,555,6,5,24
Spain,Carlos Soler,1,0.54,0,1,50,4,1,1,2,25,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7.05,1,78,24,3,0,96.15,2,100,26,2,0,75,3,51,66.67,0,0,0,0,0,0,0,0,0,2,2,0,90,2,0,26
England,Jordan Henderson,1,0.16,0,0,0,2,1,0,1,50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.05,0,153,42,4,0,87.58,4,57.14,66,2,0,134,19,70,25,4,1,0,0,0,0,0,0,1,8,10,50,272,4,2,32
England,John Stones,0,0.36,1,2,100,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.04,0,453,27,28,0,95.81,1,77.78,317,0,0,434,19,117,0,2,1,1,7,0,0,0,0,2,7,13,60,436,5,6,28
Brazil,Marquinhos,0,0.16,0,1,100,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,3,364,49,4,0,95.88,4,40,202,1,0,349,15,148,100,5,2,0,6,0,0,0,1,2,8,12,50,426,5,4,28
Argentina,Leandro Paredes,0,0.03,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.04,0,244,38,9,0,93.85,2,64.29,113,0,0,229,15,116,0,10,3,0,4,0,0,0,1,0,14,19,100,224,5,5,28
France,Randal Kolo Muani,1,1.12,1,3,37.5,4,2,1,1,25,0,0,1,0,0,1,0,0,0,1,0,0,0,0,7.03,0,41,11,0,0,60.98,0,0,6,0,0,25,16,19,0,7,1,0,1,0,0,0,0,0,15,24,64.29,180,3,9,24
Mexico,CÃ©sar Montes,0,0.18,0,2,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,1,194,12,12,1,81.44,1,41.38,117,0,0,158,36,41,0,6,2,0,11,0,0,0,0,1,8,15,58.33,270,3,7,25
Denmark,Kasper Schmeichel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,74,5,16,0,79.73,0,51.61,52,0,0,59,15,7,0,0,0,0,3,0,0,0,0,1,0,2,100,270,3,2,36
Croatia,Marcelo BrozoviÄ,0,0.53,1,3,50,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,525,76,24,0,88.76,5,82.76,240,0,0,466,59,226,0,13,4,0,7,0,0,0,7,2,27,33,60,554,6,6,30
Saudi Arabia,Mohamed Kanno,0,0.29,0,5,62.5,6,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.03,0,147,42,7,0,80.95,0,58.33,49,0,0,119,28,70,0,6,2,0,7,0,0,0,1,0,14,22,47.06,270,3,8,27
Wales,Harry Wilson,0,0.1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.03,1,55,8,4,0,80,3,66.67,26,4,0,44,11,22,44.44,4,1,0,3,0,0,0,0,0,6,7,33.33,160,3,1,25
South Korea,Gue-sung Cho,2,1.07,0,0,0,9,5,1,3,22.22,0,0,0,0,0,2,0,2,0,0,0,4,0,0,7.03,0,62,20,1,0,64.52,1,33.33,14,0,0,40,22,26,0,0,0,0,3,0,0,0,2,0,6,27,63.64,275,4,21,28
Portugal,JoÃ£o FÃ©lix,1,0.86,1,2,25,11,3,3,5,9.09,0,0,0,0,0,1,0,0,0,1,0,1,0,0,7.03,1,115,34,3,2,76.52,3,42.86,32,1,0,88,27,57,25,4,1,0,1,0,0,0,3,0,15,17,66.67,333,4,2,23
Senegal,Youssouf Sabaly,0,0.04,0,4,66.67,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,1,184,58,10,0,86.96,8,55.56,70,2,0,160,24,92,28.57,6,4,0,8,0,0,0,2,0,22,26,57.14,360,4,4,29
England,Luke Shaw,0,0.1,0,2,100,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.02,1,344,62,9,1,86.05,8,50,142,9,0,296,48,163,40.91,3,4,0,5,0,0,0,1,2,9,12,25,425,5,3,27
Brazil,Raphinha,0,1.21,2,4,36.36,8,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.02,3,124,42,6,0,83.06,9,66.67,33,5,1,103,21,75,22.73,8,3,0,0,0,0,0,2,0,17,17,0,317,5,0,26
France,Dayot Upamecano,0,0.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,0,348,30,30,0,89.94,2,61.22,200,0,0,313,35,113,0,11,6,1,12,0,0,0,0,0,14,21,50,480,5,7,24
Argentina,JuliÃ¡n Ãlvarez,4,2.64,2,0,0,11,8,1,2,36.36,0,0,1,0,0,4,0,0,0,4,0,5,0,0,7,0,116,38,4,0,77.59,3,100,28,1,1,90,26,63,33.33,4,0,0,3,0,0,0,2,0,6,8,18.18,467,7,2,22
Brazil,VinÃ­cius JÃºnior,1,1,1,5,38.46,9,4,4,1,11.11,0,0,0,0,0,1,0,0,0,1,0,3,0,0,7,1,76,34,1,2,86.84,8,100,14,0,0,66,10,52,0,3,0,0,0,0,0,0,2,1,15,15,0,302,4,0,22
Tunisia,Wahbi Khazri,1,0.43,0,0,0,5,3,1,1,20,0,0,0,0,0,1,0,0,1,0,0,2,0,0,7,0,17,6,1,0,76.47,0,33.33,4,0,0,13,4,9,0,2,0,0,0,0,0,0,0,0,4,4,0,82,2,0,31
Serbia,Sergej MilinkoviÄ-SaviÄ,1,0.17,0,3,60,3,1,2,0,33.33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,119,21,4,0,72.27,0,40,37,1,0,86,33,50,100,5,2,0,4,0,0,0,1,0,12,15,50,236,3,3,28
Tunisia,Aissa LaÃ¯douni,0,0.13,0,1,33.33,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,118,25,5,1,81.36,4,62.5,50,1,0,96,22,47,33.33,3,4,0,6,0,0,0,1,1,10,13,75,245,3,3,31
Germany,Leroy SanÃ©,0,0.12,0,3,50,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,56,26,1,1,82.14,4,50,5,1,0,46,10,42,50,1,0,0,1,0,0,0,4,0,4,5,50,110,2,1,27
Denmark,Joachim Andersen,0,0.1,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,248,34,22,1,79.84,1,47.83,123,0,0,198,50,75,0,4,0,0,12,0,0,0,2,1,8,18,55.56,270,3,10,26
Switzerland,Silvan Widmer,0,0.02,0,1,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,138,25,2,1,75.36,2,15.38,54,2,0,104,34,52,100,10,2,0,14,0,0,0,0,1,13,16,75,266,3,3,30
Brazil,Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,57,9,5,0,89.47,0,83.33,21,0,0,51,6,30,0,3,1,0,2,0,0,0,0,0,3,4,14.29,90,1,1,29
Portugal,Nuno Mendes,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,25,9,1,0,92,1,50,7,1,0,23,2,17,50,0,2,0,0,0,0,0,0,0,3,4,100,42,1,1,25
Argentina,Guido RodrÃ­guez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,64,3,2,0,84.38,0,50,35,0,0,54,10,19,0,2,0,0,1,0,0,0,0,0,2,3,100,57,1,1,28
Spain,Pau Torres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,189,11,7,0,91.53,0,70,92,0,0,173,16,81,0,0,0,0,2,0,0,0,0,0,0,1,50,90,1,1,26
Ghana,Denis Odoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,100,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,12,1,0,34
Saudi Arabia,Abdullah Madu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,1,0,38.46,0,33.33,2,0,0,5,8,3,0,1,0,0,2,0,0,0,0,0,1,2,50,45,1,1,26
Argentina,Paulo Dybala,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,12,1,0,0,66.67,1,0,2,0,0,8,4,6,0,3,0,0,1,0,0,0,0,0,4,7,75,17,2,3,29
Netherlands,Nathan AkÃ©,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,338,35,11,0,89.94,0,44,180,0,0,304,34,124,0,6,8,0,15,0,0,0,0,2,12,22,45.45,479,5,10,27
Ghana,Thomas Partey,0,0.21,0,3,100,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,175,27,7,0,83.43,2,50,79,0,0,146,29,67,0,9,0,0,8,0,0,0,0,0,14,20,66.67,270,3,6,29
Morocco,Nayef Aguerd,0,0.17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,158,5,14,0,86.71,1,53.85,118,0,0,137,21,19,0,4,4,0,12,0,0,1,0,2,4,9,71.43,354,4,5,26
Denmark,Mathias Jensen,0,0.11,0,1,100,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,62,15,3,0,82.26,4,37.5,23,0,0,51,11,28,0,1,0,0,0,0,0,0,0,0,3,4,100,84,2,1,27
Morocco,Jawad El Yamiq,0,0.1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,162,3,4,0,88.89,0,44.44,113,0,0,144,18,31,0,4,5,0,17,0,0,0,0,1,8,14,85.71,308,6,6,31
Uruguay,Diego GodÃ­n,0,0.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,103,7,7,0,84.47,0,63.64,59,0,0,87,16,28,0,0,1,0,9,0,0,0,0,1,1,9,80,152,2,8,37
Cameroon,Olivier Ntcham,0,0.04,0,2,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,6,0,0,91.67,1,0,4,0,0,11,1,7,0,0,0,0,1,0,0,0,0,0,2,2,0,22,1,0,27
Cameroon,Christopher Wooh,0,0.04,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,31,0,2,0,80.65,0,28.57,21,0,0,25,6,4,0,1,1,0,6,0,0,0,1,1,1,1,0,90,1,0,28
Croatia,Josip StaniÅ¡iÄ,0,0.02,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,41,2,2,0,73.17,0,50,22,0,0,30,11,8,0,3,1,0,0,0,0,0,0,0,5,6,100,90,1,1,25
Croatia,Borna BariÅ¡iÄ,0,0.02,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,47,4,0,0,80.85,1,0,22,4,0,38,9,20,36.36,1,0,0,3,0,0,0,0,0,3,9,75,120,1,6,29
Morocco,Bono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0,191,4,36,0,72.77,0,41.38,113,0,0,139,52,26,0,0,0,0,10,0,0,0,0,3,0,2,100,570,6,2,37
Portugal,Rafael LeÃ£o,2,0.41,0,6,75,5,2,2,1,40,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6.98,1,41,7,0,0,75.61,1,0,13,1,0,31,10,19,16.67,0,1,0,0,0,0,0,0,0,7,8,100,88,5,1,23
Netherlands,Davy Klaassen,1,0.23,0,0,0,2,1,1,0,50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.98,0,75,20,0,2,78.67,4,0,19,0,0,59,16,40,0,3,1,0,2,0,0,0,0,0,6,8,50,191,4,2,29
South Korea,Young-Gwon Kim,1,0.75,0,0,0,2,1,0,1,50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.98,1,207,18,20,0,85.51,3,48.78,112,1,0,177,30,66,100,3,3,0,11,0,0,0,1,1,5,11,75,351,4,6,33
Poland,Piotr ZieliÅski,1,0.57,1,1,33.33,3,2,0,1,33.33,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.98,0,137,30,4,0,83.94,7,40,46,9,0,115,22,78,56.25,7,1,0,6,0,0,0,3,0,10,10,0,330,4,0,28
Australia,Craig Goodwin,1,0.28,0,0,0,2,1,1,0,50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.98,1,73,19,3,0,69.86,5,50,22,3,0,51,22,32,16.67,4,0,0,2,0,0,0,3,0,6,7,16.67,235,4,1,31
USA,Matt Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0,104,2,18,0,74.04,0,40,69,0,0,77,27,8,0,0,0,0,1,0,0,0,0,2,2,4,100,360,4,2,28
Australia,Harry Souttar,0,0.08,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0,167,12,12,0,82.63,1,37.5,110,0,0,138,29,28,0,4,6,0,22,0,0,0,1,2,5,19,66.67,360,4,14,25
USA,Walker Zimmerman,0,0.07,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0,242,9,13,0,89.26,0,46.43,171,0,0,216,26,45,0,3,4,1,15,0,0,0,1,1,3,11,61.54,278,4,8,29
Portugal,JoÃ£o Cancelo,0,0.04,0,4,44.44,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.98,0,229,52,9,0,82.53,0,56.25,92,7,0,189,40,104,46.67,7,2,0,6,0,0,0,1,1,15,25,90.91,309,4,10,29
Morocco,Azzedine Ounahi,0,0.32,0,10,83.33,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.97,1,258,53,8,0,83.33,6,66.67,116,0,0,215,43,99,0,9,7,0,1,0,0,0,2,1,32,33,25,570,7,1,28
Serbia,Aleksandar MitroviÄ,2,1.65,2,1,100,10,3,5,2,20,0,0,0,0,0,2,0,1,0,1,1,1,0,0,6.97,1,67,15,3,0,80.6,2,75,28,0,0,54,13,26,0,1,0,0,1,0,0,0,0,0,3,8,27.78,263,3,5,28
Portugal,Ricardo Horta,1,0.76,0,0,0,3,2,0,1,33.33,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.97,0,40,13,0,0,75,1,0,10,0,0,30,10,20,0,2,1,0,0,0,0,0,0,0,3,3,0,117,3,0,28
Saudi Arabia,Saleh Al-Shehri,1,0.09,0,0,0,2,2,0,0,50,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6.97,0,46,10,2,0,63.04,2,100,13,0,0,29,17,16,0,3,0,0,1,0,0,0,1,0,8,14,46.15,226,3,6,28
Japan,Ko Itakura,0,0.15,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,1,111,8,4,1,88.29,1,40,64,0,0,98,13,34,0,9,4,0,15,0,0,0,1,0,9,9,0,270,3,0,26
Ecuador,FÃ©lix Torres,0,0.12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,1,206,3,13,1,81.55,1,41.94,141,0,0,168,38,27,0,2,4,0,10,0,0,0,1,1,2,11,69.23,270,3,9,24
Qatar,Akram Afif,0,0.05,0,3,50,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.97,0,149,31,12,0,89.26,5,85.71,62,4,0,133,16,75,30.77,0,0,0,0,0,0,0,1,0,9,10,50,270,3,1,29
Wales,Ethan Ampadu,0,0.04,0,2,66.67,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,136,21,11,0,75.74,2,61.11,65,0,0,103,33,38,0,4,4,0,10,0,0,0,1,0,9,12,37.5,256,3,3,22
England,Declan Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0,318,34,14,0,94.34,1,77.78,174,0,0,300,18,126,0,6,11,0,5,0,0,0,1,2,8,11,50,418,5,3,23
Argentina,NicolÃ¡s Otamendi,0,0.03,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.96,0,575,25,12,1,92.17,2,54.55,390,0,0,530,45,140,0,10,9,1,24,0,0,0,2,3,15,36,60,690,7,21,34
Mexico,Henry MartÃ­n,1,0.92,2,1,100,4,2,2,0,25,0,0,0,0,0,1,0,0,1,0,0,2,0,0,6.95,0,18,7,0,0,72.22,5,0,5,0,0,13,5,8,0,1,2,0,1,0,0,0,1,0,5,8,60,148,2,3,29
Spain,Gavi,1,0.14,0,3,75,1,1,0,0,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.95,0,150,31,2,0,88,1,40,50,1,0,132,18,83,25,8,1,0,2,0,0,0,3,1,25,27,28.57,287,4,2,17
South Korea,Jin-su Kim,0,0.33,1,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.95,1,100,20,4,1,77,5,36.36,34,5,0,77,23,48,31.25,10,3,0,4,0,0,0,1,1,16,26,71.43,315,4,10,30
Ecuador,Jhegson MÃ©ndez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,137,9,6,0,93.43,2,66.67,103,0,0,128,9,25,0,2,1,0,1,0,0,0,0,1,4,6,50,180,2,2,26
Netherlands,JurriÃ«n Timber,0,0,0,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,307,38,7,0,90.55,0,33.33,159,1,0,278,29,120,100,12,10,0,10,0,0,0,0,1,20,24,57.14,390,4,4,25
USA,Tim Ream,0,0.3,1,2,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,274,21,16,0,88.69,0,59.26,166,0,0,243,31,77,0,4,4,0,11,0,0,0,0,2,8,14,42.86,360,4,6,35
France,Jules KoundÃ©,0,0.19,0,3,100,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,263,42,12,0,82.89,1,60,121,0,0,218,45,97,0,11,5,0,7,0,0,0,5,1,16,21,38.46,487,6,5,24
Tunisia,NaÃ¯m Sliti,0,0.14,0,5,62.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6.95,0,36,12,0,0,72.22,2,0,7,1,0,26,10,20,7.69,3,0,0,1,0,0,0,1,0,11,12,50,113,2,1,30
Mexico,Edson Ãlvarez,0,0.02,0,1,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.95,1,114,9,2,0,75.44,1,18.18,52,0,0,86,28,34,0,3,4,0,1,0,0,0,2,1,5,16,68.75,176,2,11,24
Croatia,Borna Sosa,0,0.07,0,2,50,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,1,218,44,3,0,83.94,2,25,100,5,0,183,35,88,23.81,14,2,0,17,0,0,0,2,2,18,22,50,425,5,4,25
Japan,Ao Tanaka,1,0.96,0,0,0,1,1,0,0,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.93,0,67,7,3,0,70.15,1,42.86,31,1,0,47,20,17,50,3,3,0,2,0,0,0,0,0,4,7,75,173,3,3,26
Cameroon,Eric Maxim Choupo-Moting,1,0.83,0,3,37.5,3,2,0,1,33.33,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6.93,0,66,17,2,0,66.67,2,100,16,0,0,44,22,28,0,4,1,0,1,0,0,0,1,1,8,19,64.71,254,3,11,33
Morocco,Achraf Dari,1,0.63,0,0,0,1,1,0,0,100,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.93,0,111,4,5,0,89.19,0,45.45,79,0,0,99,12,20,0,1,5,0,9,0,0,0,2,0,2,7,50,187,3,5,25
Qatar,Mohammed Muntari,1,0.21,0,0,0,3,1,1,1,33.33,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.93,0,19,0,0,0,89.47,1,0,7,0,0,17,2,10,0,2,0,0,2,0,0,0,0,0,4,7,75,60,3,3,25
Ecuador,Ãngelo Preciado,0,0.07,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,92,16,2,1,77.17,4,20,45,5,0,71,21,31,62.5,7,6,0,4,0,0,0,2,1,9,12,60,265,3,3,24
Switzerland,Yann Sommer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,101,0,13,0,92.08,0,61.9,92,0,0,93,8,1,0,0,0,0,2,0,0,0,0,1,0,0,0,270,3,0,34
Ghana,Daniel Amartey,0,0.23,0,1,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,141,13,13,0,90.78,3,76.47,84,0,0,128,13,44,0,6,3,0,12,0,0,0,0,0,8,13,55.56,270,3,5,28
Belgium,Thomas Meunier,0,0.21,0,1,50,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,1,126,23,11,0,77.78,3,55,55,0,0,98,28,43,0,6,2,0,5,0,0,0,1,0,8,10,40,213,3,2,31
Canada,Junior Hoilett,0,0.14,0,2,40,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.93,0,44,10,1,0,84.09,4,33.33,13,5,0,37,7,29,38.46,8,1,0,0,0,0,0,1,0,15,15,0,162,3,0,32
Belgium,Axel Witsel,0,0.02,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,176,23,5,0,95.45,1,83.33,105,0,0,168,8,63,0,4,4,0,5,0,0,0,0,2,8,12,66.67,270,3,4,34
Morocco,Achraf Hakimi,0,0.12,0,2,18.18,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.93,0,302,54,13,1,83.11,6,56.52,142,5,0,251,51,114,41.67,26,9,0,8,0,0,0,11,3,41,46,38.46,633,7,5,23
Senegal,Kalidou Koulibaly,1,0.49,0,0,0,2,1,1,0,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.93,0,205,16,17,0,76.1,1,34.69,111,0,0,156,49,45,0,12,2,0,30,0,0,0,4,0,15,26,68.75,360,4,11,31
Japan,Maya Yoshida,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,1,232,4,13,1,85.34,1,38.24,122,0,0,198,34,76,0,4,3,0,24,0,0,0,0,0,9,19,58.82,390,4,10,34
South Korea,Kang-in Lee,0,0.16,0,1,100,5,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.93,1,65,23,4,1,92.31,4,66.67,19,2,0,60,5,43,16.67,4,0,0,0,0,0,0,3,0,8,9,50,145,4,1,21
Switzerland,Granit Xhaka,0,0.32,0,1,100,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,242,41,19,0,88.43,2,63.33,119,0,0,214,28,95,0,6,2,0,7,0,0,0,2,1,11,18,58.33,360,4,7,30
Japan,Wataru Endo,0,0.18,0,1,33.33,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,2,190,31,4,0,81.05,4,30.77,66,1,0,154,36,89,50,8,3,0,6,0,0,0,2,0,18,26,50,311,4,8,29
